n_transcripts,n_expressed_truth,n_expressed_pred,total_truth,total_predicted,total_abs_error,mae,median_abs_error,rmse,mean_rel_error,median_rel_error,mape,ware,pearson_r,spearman_r,log2_pearson_r,log2_spearman_r,precision,recall,f1,tp,fp,fn,tn,condition,tool,expression_bin,gdna_label,strand_specificity,nrna_label
98,98,98,182900.16215312172,180093.077,4708.804892587219,48.049029516196114,17.532814558775215,123.73667312892486,0.028955734430199807,0.010168913254161228,2.895573443019981,0.025745219890210193,0.9845863029353328,0.978603625142653,0.9586856399441366,0.978603625142653,1.0,1.0,1.0,98,0,0,0,pristine,kallisto,very_high_1000+,unknown,1.0,none
60878,0,10412,0.0,7712.131702058765,7712.131702058765,0.12668175206246535,0.0,3.5494146452393163,,,,,,,,,0.0,,,0,10412,0,50466,gdna,rigel/oracle_vbem,zero,unknown,1.0,none
18853,18853,18093,70572.33155148759,66679.36847137197,20248.89168897727,1.0740408258090102,0.7484823197149515,1.7065459817091189,0.3637160893295304,0.24314875311160938,36.371608932953045,0.2869239437583871,0.8075604401089032,0.8143757429894554,0.7948353002315944,0.8143757429894554,1.0,0.9596881132976184,0.9794294375575164,18093,0,760,0,gdna,rigel/oracle_vbem,low_1-10,unknown,1.0,none
10948,10948,10941,339468.58562724874,331436.31561262585,29434.44447251246,2.688568183459304,1.6727039847680967,4.682874094873632,0.1080922607598678,0.06481920335881047,10.80922607598678,0.0867074177662871,0.9766108159326534,0.9648659692757415,0.9489788864009641,0.9648659692757415,1.0,0.9993606138107417,0.9996802046690119,10941,0,7,0,gdna,rigel/oracle_vbem,mid_10-100,unknown,1.0,none
1706,1706,1706,399286.83887152467,393719.64838045015,14300.194533361973,8.382294568207488,4.994627814333391,17.063972354514284,0.04020233485315753,0.024857164845779878,4.020233485315753,0.03581433982091063,0.994712385519952,0.9858927984217906,0.9871479227802411,0.9858927984217906,1.0,1.0,1.0,1706,0,0,0,gdna,rigel/oracle_vbem,high_100-1000,unknown,1.0,none
98,98,98,182900.16215312172,179435.74411512134,4441.441598122658,45.32083263390468,24.303835779445876,99.48752117626539,0.025894415942409477,0.014336978743673501,2.589441594240948,0.024283420779060542,0.9906058049358605,0.9857952553092463,0.9754802875529329,0.9857952553092463,1.0,1.0,1.0,98,0,0,0,gdna,rigel/oracle_vbem,very_high_1000+,unknown,1.0,none
60878,0,10683,0.0,9836.600046097632,9836.600046097632,0.16157889625312316,0.0,4.6533428615276335,,,,,,,,,0.0,,,0,10683,0,50195,gdna,rigel/star_vbem,zero,unknown,1.0,none
18853,18853,18061,70572.33155148759,68060.92131577048,22429.731632098854,1.1897168425236755,0.7611314339606767,4.418833124516126,0.4114954684392151,0.24734160360362287,41.149546843921506,0.31782613864379344,0.4577353845785481,0.8051569306970657,0.7775066324440572,0.8051569306970657,1.0,0.9579907706996234,0.9785447255783714,18061,0,792,0,gdna,rigel/star_vbem,low_1-10,unknown,1.0,none
10948,10948,10934,339468.58562724874,327075.7134797921,32580.832340959474,2.975962033335721,1.8038750249100453,5.9963454552667095,0.11689334461888862,0.07041181477001043,11.689334461888862,0.09597598635160498,0.9619992744120704,0.9585126916395447,0.9364952168955447,0.9585126916395447,1.0,0.9987212276214834,0.999360204734485,10934,0,14,0,gdna,rigel/star_vbem,mid_10-100,unknown,1.0,none
1706,1706,1703,399286.83887152467,387472.41188235907,21849.312464247603,12.807334387015008,6.392051218794791,42.61271999424779,0.05446725443591379,0.033910567194591706,5.4467254435913794,0.054720843106170806,0.9668787314284893,0.9718523281981335,0.881640322204408,0.9718523281981335,1.0,0.9982415005861665,0.9991199765327076,1703,0,3,0,gdna,rigel/star_vbem,high_100-1000,unknown,1.0,none
98,98,98,182900.16215312172,171315.34876364644,11758.624972243128,119.98596910452171,57.05334943389357,230.61055967996612,0.06471190288365537,0.031170641799083115,6.471190288365538,0.06428985537147285,0.9572770678903262,0.9398657307346556,0.9056293856781094,0.9398657307346556,1.0,1.0,1.0,98,0,0,0,gdna,rigel/star_vbem,very_high_1000+,unknown,1.0,none
60878,0,10941,0.0,21309.985959999998,21309.985959999998,0.3500441203718913,0.0,7.154282175131003,,,,,,,,,0.0,,,0,10941,0,49937,gdna,salmon,zero,unknown,1.0,none
18853,18853,16378,70572.33155148759,82086.075799,53555.26337086328,2.8406759333190092,1.0875424507463618,20.66276366346584,0.9561211334008858,0.38327362814983834,95.61211334008858,0.7588705402455191,0.10233356232944134,0.5702831910450733,0.5169852090307192,0.5702831910450733,1.0,0.8687211584363231,0.9297493684539185,16378,0,2475,0,gdna,salmon,low_1-10,unknown,1.0,none
10948,10948,10628,339468.58562724874,291197.16994,107736.11157308855,9.840711689175059,3.61920748718744,33.97432068661699,0.34936860670027214,0.13274736463412734,34.936860670027215,0.3173669556905259,0.45776551863306897,0.6935227056518086,0.5487358923162619,0.6935227056518086,1.0,0.9707709170624772,0.9851687059695958,10628,0,320,0,gdna,salmon,mid_10-100,unknown,1.0,none
1706,1706,1671,399286.83887152467,314148.141775,93037.07648158647,54.535214819218325,18.627661466640575,106.73364075109485,0.23001016273536803,0.08562757006970612,23.001016273536802,0.23300812204211482,0.8197708713286289,0.7392840940602304,0.45024272175379737,0.7392840940602304,1.0,0.9794841735052755,0.989635771394729,1671,0,35,0,gdna,salmon,high_100-1000,unknown,1.0,none
98,98,96,182900.16215312172,139876.151337,44123.44458450678,450.23923045415086,178.21505204072105,724.370243533601,0.2392838587565388,0.09738887547257752,23.92838587565388,0.24124333223700034,0.6657534408267971,0.6838063481674669,0.36020559443087324,0.6838063481674669,1.0,0.9795918367346939,0.9896907216494846,96,0,2,0,gdna,salmon,very_high_1000+,unknown,1.0,none
60878,0,29978,0.0,74466.45318335085,74466.45318335085,1.2232079434828813,0.0,7.4482796410621575,,,,,,,,,0.0,,,0,29978,0,30900,gdna,kallisto,zero,unknown,1.0,none
18853,18853,17964,70572.33155148759,64643.966470212865,22180.391251245746,1.1764913409667292,0.8032870640324168,1.9326073289286851,0.40896731702460126,0.25633437088871514,40.89673170246012,0.3142930205595313,0.7261422674407976,0.7640395223603903,0.7240569480492836,0.7640395223603903,1.0,0.952845700949451,0.9758535459162887,17964,0,889,0,gdna,kallisto,low_1-10,unknown,1.0,none
