locus_idx,n_transcripts,n_units,n_components,n_equiv_classes,ec_total_elements,max_ec_width,max_ec_depth,squarem_iterations,estep_threads_used,is_mega_locus,digamma_calls_per_estep,extract_us,bias_us,build_ec_us,warm_start_us,squarem_us,assign_us,total_us,squarem_time_s,total_time_s,em_fraction,hit_max_iters,converged
8189,23,4758,24,58,18847,10,1179,19,1,False,24,11164.619,462.837,903.212,58.438,16092.71,775.435,29457.251,0.01609271,0.029457251,0.5463072572522126,False,True
267,32,4473,33,106,38368,29,823,22,1,False,33,917.187,965.024,966.201,122.243,25191.852,1270.675,29433.182,0.025191851999999997,0.029433182000000002,0.8558997121004449,False,True
1300,47,1710,48,156,26268,38,143,42,1,False,48,745.48,658.197,520.79,93.411,26533.488,830.959,29382.325,0.026533488,0.029382325,0.9030424923827506,False,True
9017,42,8253,43,126,53751,18,1238,12,1,False,43,1402.165,1375.853,1737.415,165.212,22870.21,1818.451,29369.306,0.02287021,0.029369306,0.7787112844954525,False,True
2188,24,3632,25,53,24574,21,994,15,1,False,25,15656.2,643.566,860.037,78.646,11231.946,828.383,29298.778,0.011231946,0.029298777999999998,0.3833588554444148,False,True
8183,8,7568,9,20,22004,9,4927,6,1,False,9,19281.453,550.204,1653.138,69.074,6537.16,957.934,29048.963,0.00653716,0.029048963,0.22503935854784213,False,True
6992,46,3131,47,142,59819,38,468,20,1,False,47,1495.931,1444.611,900.435,207.172,23083.837,1760.232,28892.218,0.023083837,0.028892218,0.7989638247918522,False,True
3552,12,2844,13,27,16958,9,1515,25,1,False,13,503.766,394.295,686.109,52.11,26613.833,594.067,28844.18,0.026613833,0.02884418,0.9226760129773146,False,True
6805,17,7164,18,95,57918,17,3662,13,1,False,18,1305.503,1328.349,1719.302,186.758,22311.054,1873.377,28724.343,0.022311054,0.028724343,0.7767298280764855,False,True
3655,2,19656,3,2,58963,3,19651,5,1,False,3,2091.45,1372.485,5716.822,183.315,16536.643,2462.083,28362.798,0.016536643,0.028362797999999998,0.5830399031858564,False,True
8466,10,2495,11,22,7193,7,1302,9,1,False,11,12384.856,183.623,11935.841,23.639,3467.65,348.834,28344.443,0.00346765,0.028344443,0.12233967695184556,False,True
1549,12,15402,13,41,48865,9,4790,9,1,False,13,1412.047,1185.396,2914.644,151.341,20423.141,2093.159,28179.728,0.020423141,0.028179727999999998,0.7247458527633766,False,True
3989,8,3877,9,20,25550,9,1540,6,1,False,9,20581.681,644.273,883.522,76.93,5115.918,837.664,28139.988,0.005115918,0.028139988,0.1818024229434639,False,True
4060,6,2941,7,11,18814,7,1840,14,1,False,7,10177.18,459.651,6209.568,56.199,10571.937,638.744,28113.279,0.010571937,0.028113278999999998,0.3760478100046601,False,True
8941,8,5302,9,19,22782,9,2681,13,1,False,9,7796.92,574.658,6483.604,68.788,12282.884,858.033,28064.887,0.012282884,0.028064887,0.43766019795483235,False,True
3142,4,3905,5,9,9766,3,1342,5,1,False,5,12009.385,250.049,11800.558,32.421,2683.098,448.212,27223.723,0.002683098,0.027223723000000002,0.09855735014641458,False,True
502,8,4171,9,18,13122,7,2378,10,1,False,9,5595.214,327.67,13638.677,41.904,6809.189,557.441,26970.095,0.006809189,0.026970095,0.2524718211040784,False,True
3599,15,4075,16,34,19769,12,1360,16,1,False,16,11636.827,488.56,820.091,61.629,13173.99,753.709,26934.806,0.01317399,0.026934806000000002,0.48910654860480524,False,True
652,6,3314,7,13,14339,7,1625,6,1,False,7,9816.97,339.83,12393.672,42.536,3740.655,566.717,26900.38,0.0037406550000000003,0.02690038,0.13905584233382576,False,True
4253,7,3505,8,15,13069,6,1891,21,1,False,8,9789.91,364.4,2884.524,38.67,12829.432,549.67,26456.606,0.012829432,0.026456606,0.4849235763650107,False,True
5619,21,6590,22,71,34793,13,1201,16,1,False,22,913.975,841.868,1238.779,107.198,21931.776,1298.785,26332.381,0.021931776,0.026332381000000002,0.8328823739866137,False,True
8701,14,425,15,44,3846,15,164,137,1,False,15,12000.904,108.185,118.557,13.94,13831.661,137.192,26210.439,0.013831661,0.026210439,0.5277157318883519,False,True
5771,13,4090,14,40,15437,10,934,17,1,False,14,10532.214,389.02,757.004,48.232,13759.787,633.688,26119.945,0.013759787,0.026119945,0.5267923420206283,False,True
3174,25,1525,26,112,9964,26,101,12,1,False,26,20671.557,270.78,385.351,35.563,3817.383,387.355,25567.989,0.0038173829999999997,0.025567989000000003,0.14930321661199086,False,True
8179,32,3485,33,75,21884,25,336,17,1,False,33,10778.342,571.416,718.248,70.212,12636.744,779.111,25554.073,0.012636744,0.025554073,0.494509974985201,False,True
1634,17,6854,18,59,26451,16,714,9,1,False,18,5348.783,714.317,7411.362,83.098,10777.643,1126.524,25461.727,0.010777643,0.025461727,0.4232879804264652,False,True
642,19,2002,20,46,15165,20,1052,15,1,False,20,16411.554,382.162,1497.71,47.788,6542.744,526.077,25408.035,0.006542744,0.025408035,0.2575068870930003,False,True
1593,14,8958,15,37,31261,11,4826,13,1,False,15,861.728,752.346,1869.049,97.213,19943.319,1279.761,24803.416,0.019943319,0.024803416000000002,0.8040553365713818,False,True
1105,7,1752,8,17,11636,8,750,51,1,False,8,5432.521,294.375,369.115,38.468,18221.126,388.744,24744.349,0.018221126,0.024744349,0.7363752426867242,False,True
5590,38,4288,39,110,25121,15,719,23,1,False,39,634.902,604.107,842.363,86.073,21599.203,961.991,24728.639,0.021599203,0.024728639,0.8734489188830814,False,True
8880,30,475,31,63,7687,29,77,123,1,False,31,3156.146,198.983,154.811,28.228,20918.136,255.848,24712.152,0.020918135999999997,0.024712151999999998,0.8464716468237975,False,True
5593,7,1663,8,21,6426,8,835,11,1,False,8,20427.899,168.724,309.178,20.557,3226.64,270.357,24423.355,0.00322664,0.024423355,0.13211288948631342,False,True
189,6,2928,7,13,11282,5,1154,8,1,False,7,19041.027,295.928,550.939,34.181,3977.808,467.671,24367.554,0.003977808,0.024367554,0.1632419897376651,False,True
1080,4,2111,5,10,6361,5,1952,8,1,False,5,10142.884,174.118,10534.136,20.851,2810.113,276.745,23958.847,0.002810113,0.023958847000000002,0.11728915836392292,False,True
128,14,2704,15,34,13700,15,628,11,1,False,15,16689.474,352.721,551.481,42.248,5678.517,502.876,23817.317,0.005678517,0.023817316999999998,0.23841967590220176,False,True
436,22,2315,23,53,25028,21,445,23,1,False,23,7218.874,625.843,701.999,87.067,14279.571,811.029,23724.383,0.014279571,0.023724383,0.6018943042691562,False,True
8295,10,5529,11,19,22038,8,1968,9,1,False,11,7002.96,535.021,6203.329,72.199,9033.191,853.454,23700.154,0.009033191000000001,0.023700153999999998,0.38114482294081303,False,True
5910,10,4292,11,25,16054,9,2095,6,1,False,11,17089.993,399.352,896.895,49.766,4509.926,646.278,23592.21,0.004509926,0.02359221,0.1911616588696015,False,True
4254,8,6971,9,12,40479,7,2522,11,1,False,9,974.277,947.197,1656.065,119.688,18258.727,1416.18,23372.134,0.018258727,0.023372134,0.781217795516661,False,True
3727,35,2481,36,102,22876,27,1036,14,1,False,36,12085.261,584.395,699.951,76.37,8962.55,749.721,23158.248,0.00896255,0.023158248,0.38701330083346547,False,True
4470,20,5346,21,56,29934,13,1407,15,1,False,21,3597.085,720.498,1120.585,90.893,16446.984,1136.58,23112.625,0.016446984,0.023112625,0.7116017328191844,False,True
8826,16,1414,17,24,9800,15,1103,34,1,False,17,8790.477,245.14,308.18,30.591,13329.152,343.763,23047.303,0.013329152,0.023047302999999998,0.5783389058580954,False,True
5278,17,1598,18,35,10071,12,454,10,1,False,18,18682.7,259.655,332.245,33.086,3360.29,355.87,23023.846,0.00336029,0.023023846,0.14594824861146133,False,True
3128,4,1380,5,3,5508,5,948,4,1,False,5,8537.201,151.935,12990.299,16.865,1028.412,212.223,22936.935,0.001028412,0.022936935000000002,0.044836504964590955,False,True
1609,10,2030,11,22,16662,11,679,9,1,False,11,10437.501,416.15,7009.141,57.318,4429.879,540.868,22890.857,0.004429879,0.022890857,0.19352176285929357,False,True
569,12,2691,13,18,14711,9,574,22,1,False,13,704.907,350.124,7450.117,45.517,13738.462,524.638,22813.765,0.013738462,0.022813765,0.6022005574266238,False,True
1641,2,4213,3,1,12639,3,4213,5,1,False,3,14876.835,320.435,3525.125,41.133,3476.203,544.404,22784.135,0.0034762029999999998,0.022784134999999997,0.15257120799187682,False,True
3953,23,6369,24,66,41340,20,1455,13,1,False,24,1034.526,1003.507,1384.493,128.56,17733.068,1427.236,22711.39,0.017733067999999998,0.022711389999999998,0.7808006467239565,False,True
3857,34,2331,35,97,18406,19,207,15,1,False,35,4197.465,493.915,8453.39,64.264,8743.734,651.21,22603.978,0.008743734,0.022603978,0.3868227972970068,False,True
1674,30,8358,31,76,31482,11,2776,13,1,False,31,847.361,753.553,1492.685,95.244,17619.719,1316.118,22124.68,0.017619719000000002,0.02212468,0.7963829985337642,False,True
322,6,2086,7,11,8307,6,741,6,1,False,7,18879.102,208.817,392.694,25.355,2194.808,327.275,22028.051,0.002194808,0.022028051,0.09963695834915218,False,True
