field	class	kappa_len	rho_global	rho_ref	n_regions	sum_y	sum_e	mean_rho_hat_e_weighted	mean_weight_e_weighted	n_at_floor	n_at_one	rho_q010	rho_q050	rho_q100	rho_q250	rho_q500	rho_q750	rho_q900	rho_q950	rho_q990	rho_q999	weight_q010	weight_q050	weight_q100	weight_q250	weight_q500	weight_q750	weight_q900	weight_q950	weight_q990	weight_q999
current_alpha_used_as_length__exon-intron_q990	INTRON	1.0	0.0018870891827843024	0.33982728397448775	296039	301315.54418251116	1541887072.7065003	0.0001723729080625876	0.0005580584685364492	205278	6451	7.778290764175809e-09	1.3419723326014982e-08	1.9567130345634396e-08	4.1449704797827806e-08	1.1811269757295799e-07	5.209551487839137e-07	8.546295017754166e-05	0.00037956859370888235	0.002844985642272265	0.01900637004508968	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0002514893718303023	0.001116945612105054	0.008371857636027392	0.05592949990006265
current_alpha_used_as_length__exon-intron_q990	EXON-INTRON	1.0	0.0018870891827843024	0.33982728397448775	318828	5407683.270921337	180896005.90761682	0.029844580778852294	0.0831722023714079	248499	3236	3.083203762434042e-06	3.083203762434042e-06	3.083203762434042e-06	3.083203762434042e-06	3.083203762434042e-06	6.156349029136851e-06	0.12418728311819935	0.1927668533311797	0.33982728397448775	0.7418234079095852	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.3654423554982201	0.5672494894366737	1.0	1.0
clipped_alpha_over_rho_global__global_q950	ALL	529.9166616622495	0.0018870891827843024	0.0008764462301425569	647987	5719368.815103848	3030788829.3150067	0.001111065399404004	0.1568582818856417	6	451614	4.5951082026273624e-08	1.9952593815626066e-07	2.3370571348596294e-06	7.818983866959019e-06	2.689953282571471e-05	0.00010766419960124607	0.000535233383871811	0.0008764462301425569	0.029899017466526456	0.15164232573520303	0.00010000000000000009	0.00022765337027441743	0.0026665151317719718	0.008921236235664144	0.03069159510371723	0.12284176244757666	0.6106859331059632	1.0	1.0	1.0
clipped_alpha_over_rho_global__global_q950	INTERGENIC	529.9166616622495	0.0018870891827843024	0.0008764462301425569	33120	10370.0	1308005750.7008893	2.749257054607997e-05	0.027812613852376638	6	4550	3.309069565801727e-08	5.030630422831072e-08	9.314375088698323e-08	2.636568306484753e-06	7.632785465116457e-06	2.1535428419721177e-05	5.31409635742952e-05	9.283243154441469e-05	0.0002817496121550223	0.0013580797511672132	0.00010000000000000009	0.00010000000000000009	0.00010627434711178247	0.0030082487844758084	0.008708789201905702	0.02457130589313888	0.060632314620888514	0.10591914067485375	0.32146822299548766	1.0
clipped_alpha_over_rho_global__global_q950	INTRON	529.9166616622495	0.0018870891827843024	0.0008764462301425569	296039	301315.54418251116	1541887072.7065003	0.00022281494711678813	0.1674112639798581	0	128236	4.112879333651353e-06	7.084687325690333e-06	1.0301662624491059e-05	2.1281986302051612e-05	5.531311429546534e-05	0.00016392833289187328	0.00042525920068328937	0.0007455128897062976	0.002650187590432817	0.012232891022160594	0.004692677305466166	0.008083424951851277	0.011753901460464327	0.02428213570910108	0.06311067626643613	0.18703752409912217	0.485208545667564	0.8506088155402727	1.0	1.0
clipped_alpha_over_rho_global__global_q950	EXON-INTRON	529.9166616622495	0.0018870891827843024	0.0008764462301425569	318828	5407683.270921337	180896005.90761682	0.01651716221825815	1.0	0	318828	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0011969683416811522	0.06574137245478748	0.10082030217807829	0.17964776159693707	0.39345452811949605	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
clipped_alpha_over_rho_global__exon-intron_q950	ALL	529.9166616622495	0.0018870891827843024	0.10082030217807829	647987	5719368.815103848	3030788829.3150067	0.001111065399404004	0.009394465873056044	3701	15496	4.5951082026273624e-08	1.9952593815626066e-07	2.3370571348596294e-06	7.818983866959019e-06	2.689953282571471e-05	0.00010766419960124607	0.000535233383871811	0.0008764462301425569	0.029899017466526456	0.15164232573520303	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00026680670702813647	0.001067882135594867	0.005308785753552217	0.008693152184710734	0.29655750697628347	1.0
clipped_alpha_over_rho_global__exon-intron_q950	INTERGENIC	529.9166616622495	0.0018870891827843024	0.10082030217807829	33120	10370.0	1308005750.7008893	2.749257054607997e-05	0.00030956824759985406	2678	3	3.309069565801727e-08	5.030630422831072e-08	9.314375088698323e-08	2.636568306484753e-06	7.632785465116457e-06	2.1535428419721177e-05	5.31409635742952e-05	9.283243154441469e-05	0.0002817496121550223	0.0013580797511672132	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0002136021015061358	0.0005270859383106451	0.0009207712091602876	0.0027945721850482982	0.013470300344552074
clipped_alpha_over_rho_global__exon-intron_q950	INTRON	529.9166616622495	0.0018870891827843024	0.10082030217807829	296039	301315.54418251116	1541887072.7065003	0.00022281494711678813	0.0022025537240458557	1023	131	4.112879333651353e-06	7.084687325690333e-06	1.0301662624491059e-05	2.1281986302051612e-05	5.531311429546534e-05	0.00016392833289187328	0.00042525920068328937	0.0007455128897062976	0.002650187590432817	0.012232891022160594	0.00010000000000000009	0.00010000000000000009	0.00010217845415991005	0.00021108830108901438	0.0005486307132641406	0.0016259456612451688	0.004217991728810298	0.007394471883148125	0.0262862492293646	0.12133360799250248
clipped_alpha_over_rho_global__exon-intron_q950	EXON-INTRON	529.9166616622495	0.0018870891827843024	0.10082030217807829	318828	5407683.270921337	180896005.90761682	0.01651716221825815	0.13638574240216333	0	15362	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0011969683416811522	0.06574137245478748	0.10082030217807829	0.17964776159693707	0.39345452811949605	0.008693152184710734	0.008693152184710734	0.008693152184710734	0.008693152184710734	0.008693152184710734	0.011872294724597771	0.6520648226055592	1.0	1.0	1.0
