strand_specificity	n_rna_fragments	gdna_fraction	TA1	NTA1	TD	TE	NTD	NTE	gdna	TA1_expected	TD_expected	TE_expected	TA1_observed	TD_observed	TE_observed	TA1_abs_diff	TD_abs_diff	TE_abs_diff	TA1_rel_err	TD_rel_err	TE_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric	rna_fl_true_mean	rna_fl_est_mean	rna_fl_mean_err	rna_fl_true_std	rna_fl_est_std	gdna_fl_true_mean	gdna_fl_est_mean	gdna_fl_mean_err	gdna_fl_true_std	gdna_fl_est_std	rna_fl_n_obs	gdna_fl_n_obs	cal_kappa_true	cal_kappa_est	cal_kappa_err	cal_density_est	cal_gdna_fl_true_mean	cal_gdna_fl_est_mean	cal_gdna_fl_mean_err	cal_gdna_fl_true_std	cal_gdna_fl_est_std	cal_n_seed	cal_n_iterations	cal_converged	cal_mean_weight	cal_n_regions
0.5	10000	0.0	50	10	0	0	0	0	0	3510	0	0	3532.71	0.0	0.0	22.71	0.0	0.0	0.0065	0.0	0.0	6490	6467.29	22.71	0.0035	0	0.0	0.0	3510	3532.71	0.0065	10000	10000.0	0.0	10000	0	0	250	251.2	1.2	50	54.9	250.0			50.0		10000	0		50.0		5.3247e-01	250.0	252.62	2.62	50.0	49.53	1	1	True	0.3869	13
0.5	10000	0.0	50	20	0	0	0	0	0	2128	0	0	1405.04	0.0	0.0	722.96	0.0	0.0	0.3397	0.0	0.0	7872	0.5	7871.5	0.9999	0	8594.46	8594.46	2128	1405.04	0.3397	10000	1405.54	0.8594	10000	0	0	250	256.02	6.02	50	46.9	250.0	248.9	-1.1	50.0	55.12	435	9355		50.0		6.5991e-01	250.0	248.68	-1.32	50.0	50.07	1	1	True	0.3431	13
0.5	10000	0.0	50	50	0	0	0	0	0	976	0	0	427.25	0.0	0.0	548.75	0.0	0.0	0.5622	0.0	0.0	9024	0.36	9023.64	1.0	0	9572.39	9572.39	976	427.25	0.5622	10000	427.61	0.9572	10000	0	0	250	258.11	8.11	50	47.25	250.0	248.89	-1.11	50.0	51.75	208	9466		50.0		7.5438e-01	250.0	248.06	-1.94	50.0	50.3	1	1	True	0.4092	13
0.5	10000	0.0	50	100	0	0	0	0	0	513	0	0	177.31	0.0	0.0	335.69	0.0	0.0	0.6544	0.0	0.0	9487	0.29	9486.71	1.0	0	9822.4	9822.4	513	177.31	0.6544	10000	177.6	0.9822	10000	0	0	250	263.44	13.44	50	50.87	250.0	249.34	-0.66	50.0	51.24	114	9710		50.0		7.6607e-01	250.0	248.98	-1.02	50.0	51.27	1	1	True	0.3318	13
0.5	10000	0.0	50	200	0	0	0	0	0	263	0	0	90.4	0.0	0.0	172.6	0.0	0.0	0.6563	0.0	0.0	9737	0.25	9736.75	1.0	0	9909.35	9909.35	263	90.4	0.6563	10000	90.65	0.9909	10000	0	0	250	254.62	4.62	50	35.66	250.0	249.14	-0.86	50.0	51.36	60	9603		50.0		8.0840e-01	250.0	248.73	-1.27	50.0	50.35	1	1	True	0.364	13
0.5	10000	0.0	50	500	0	0	0	0	0	107	0	0	23.39	0.0	0.0	83.61	0.0	0.0	0.7814	0.0	0.0	9893	0.23	9892.77	1.0	0	9976.38	9976.38	107	23.39	0.7814	10000	23.62	0.9976	10000	0	0	250	236.06	-13.94	50	39.0	250.0	248.97	-1.03	50.0	50.16	17	8392		50.0		7.9843e-01	250.0	248.49	-1.51	50.0	50.29	1	1	True	0.3677	13
0.5	10000	0.0	50	1000	0	0	0	0	0	54	0	0	22.16	0.0	0.0	31.84	0.0	0.0	0.5897	0.0	0.0	9946	0.23	9945.77	1.0	0	9977.61	9977.61	54	22.16	0.5897	10000	22.39	0.9978	10000	0	0	250	249.43	-0.57	50	39.41	250.0	249.19	-0.81	50.0	51.39	14	9980		50.0		8.1000e-01	250.0	247.21	-2.79	50.0	49.84	1	1	True	0.4147	13
0.5	10000	0.0	100	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250.0			50.0		10000	0		50.0		5.6830e+00	250.0	247.1	-2.9	50.0	50.4	0	1	True	0.4127	13
0.5	10000	0.0	100	5	0	0	0	0	0	6839	0	0	6655.28	0.0	0.0	183.72	0.0	0.0	0.0269	0.0	0.0	3161	1.15	3159.85	0.9996	0	3343.57	3343.57	6839	6655.28	0.0269	10000	6656.43	0.3344	10000	0	0	250	260.83	10.83	50	48.33	250.0	249.04	-0.96	50.0	63.41	1437	8315		50.0		2.5364e-01	250.0	245.92	-4.08	50.0	51.3	1	1	True	0.3275	13
0.5	10000	0.0	100	10	0	0	0	0	0	5196	0	0	4857.43	0.0	0.0	338.57	0.0	0.0	0.0652	0.0	0.0	4804	0.9	4803.1	0.9998	0	5141.67	5141.67	5196	4857.43	0.0652	10000	4858.33	0.5142	10000	0	0	250	259.37	9.37	50	48.95	250.0	249.33	-0.67	50.0	59.16	1058	8763		50.0		3.9138e-01	250.0	249.74	-0.26	50.0	48.54	1	1	True	0.336	13
