scenario,condition,t_id,expected,observed,abs_diff,rel_error,total_expected,total_observed,gdna_expected,gdna_pipeline,gdna_abs_diff,nrna_expected,nrna_pipeline,nrna_abs_diff,ctrl_observed,n_fragments,alignment_rate,n_intergenic
single_exon,gdna=5_ss=0.9_nrna=30,t1,198,265.0,67.0,0.34,297,352.0,95,74.0,21.0,108,74.0,34.0,0.0,500,1.0,47
single_exon,gdna=5_ss=0.9_nrna=30,t_helper,99,87.0,12.0,0.12,297,352.0,95,74.0,21.0,108,74.0,34.0,0.0,500,1.0,47
single_exon,gdna=5_ss=0.9_nrna=30,t_ctrl,0,0.0,0.0,0.0,297,352.0,95,74.0,21.0,108,74.0,34.0,0.0,500,1.0,47
single_exon,gdna=5_ss=0.9_nrna=50,t1,172,257.0,85.0,0.49,260,344.39,83,75.0,8.0,157,80.61,76.39,0.0,500,1.0,46
single_exon,gdna=5_ss=0.9_nrna=50,t_helper,88,87.39,0.61,0.01,260,344.39,83,75.0,8.0,157,80.61,76.39,0.0,500,1.0,46
single_exon,gdna=5_ss=0.9_nrna=50,t_ctrl,0,0.0,0.0,0.0,260,344.39,83,75.0,8.0,157,80.61,76.39,0.0,500,1.0,46
single_exon,gdna=5_ss=0.95_nrna=0,t1,246,258.0,12.0,0.05,379,394.3,121,105.0,16.0,0,0.7,0.7,0.0,500,1.0,63
single_exon,gdna=5_ss=0.95_nrna=0,t_helper,133,136.3,3.3,0.02,379,394.3,121,105.0,16.0,0,0.7,0.7,0.0,500,1.0,63
single_exon,gdna=5_ss=0.95_nrna=0,t_ctrl,0,0.0,0.0,0.0,379,394.3,121,105.0,16.0,0,0.7,0.7,0.0,500,1.0,63
single_exon,gdna=5_ss=0.95_nrna=30,t1,198,265.0,67.0,0.34,297,351.59,95,74.0,21.0,108,74.41,33.59,0.0,500,1.0,47
single_exon,gdna=5_ss=0.95_nrna=30,t_helper,99,86.59,12.41,0.13,297,351.59,95,74.0,21.0,108,74.41,33.59,0.0,500,1.0,47
single_exon,gdna=5_ss=0.95_nrna=30,t_ctrl,0,0.0,0.0,0.0,297,351.59,95,74.0,21.0,108,74.41,33.59,0.0,500,1.0,47
single_exon,gdna=5_ss=0.95_nrna=50,t1,172,238.0,66.0,0.38,260,324.7,83,100.0,17.0,157,75.3,81.7,0.0,500,1.0,46
single_exon,gdna=5_ss=0.95_nrna=50,t_helper,88,86.7,1.3,0.01,260,324.7,83,100.0,17.0,157,75.3,81.7,0.0,500,1.0,46
single_exon,gdna=5_ss=0.95_nrna=50,t_ctrl,0,0.0,0.0,0.0,260,324.7,83,100.0,17.0,157,75.3,81.7,0.0,500,1.0,46
single_exon,gdna=5_ss=1.0_nrna=0,t1,245,249.0,4.0,0.02,379,382.52,121,111.0,10.0,0,6.48,6.48,2.0,500,1.0,58
single_exon,gdna=5_ss=1.0_nrna=0,t_helper,134,131.52,2.48,0.02,379,382.52,121,111.0,10.0,0,6.48,6.48,2.0,500,1.0,58
