true_source	predicted_binary	predicted_detail	zc	zs	cigar_class	nh	nm	count	rate_within_group
rna	unresolved	unresolved	.	unspliced	all_M	2	0	329	0.002645821772941848
gdna	rna	mrna	ambig_same_strand	spliced_unannot	contains_N	1	>=3	322	0.00030314584421881107
rna	rna	mrna	multimapper	unspliced	other	2	2	322	2.503719422937771e-05
gdna	rna	mrna	multimapper	unspliced	all_M	3-10	1	317	0.00029843861061292886
rna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	1	>=3	315	0.0025332336123911315
gdna	rna	nrna	ambig_same_strand	spliced_unannot	all_M	1	1	314	0.0002358485251580523
rna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	>10	0	314	0.0006329215983487599
gdna	rna	mrna	multimapper	spliced_annot	all_M	2	1	309	0.0002909070368435174
rna	unresolved	unresolved	.	spliced_annot	contains_N	1	2	304	0.0024447714862441392
rna	rna	nrna	ambig_same_strand	unspliced	soft_or_hard_clipped	1	2	303	0.0006107491856677524
gdna	gdna	gdna	multimapper	unspliced	all_M	>10	1	301	1.937104345632959e-05
gdna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	2	1	299	0.001008560962281844
rna	rna	mrna	unambig	spliced_annot	other	1	2	296	2.3015557428247833e-05
rna	rna	mrna	multimapper	spliced_annot	contains_N	3-10	1	293	2.278229164350208e-05
gdna	rna	mrna	unambig	spliced_annot	contains_N	1	1	289	0.0002720781024199888
rna	rna	nrna	ambig_opp_strand	unspliced	other	1	1	287	0.000578498403586287
rna	rna	nrna	multimapper	unspliced	all_M	2	2	283	0.0005704357080659206
gdna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	3-10	2	282	0.0009512180313159866
gdna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	2	>=3	282	0.0002118130066706075
rna	unresolved	unresolved	.	unspliced	all_M	1	>=3	281	0.002259805222482247
gdna	rna	nrna	ambig_same_strand	spliced_unannot	contains_N	1	2	280	0.0002103107867651422
rna	gdna	gdna	multimapper	unspliced	all_M	2	1	279	0.0005485657659570703
gdna	gdna	gdna	.	unknown	all_M	3-10	2	276	1.7762152803810522e-05
gdna	rna	mrna	ambig_same_strand	spliced_annot	contains_N	1	2	273	0.0002570149548811659
rna	unresolved	unresolved	.	unspliced	all_M	1	2	269	0.002163301084867347
rna	rna	nrna	multimapper	unspliced	other	2	>=3	268	0.0005402005998645467
gdna	rna	nrna	multimapper	unspliced	all_M	2	2	267	0.00020054635737961772
gdna	rna	mrna	ambig_same_strand	spliced_unannot	contains_N	1	1	267	0.0002513662745541073
gdna	rna	mrna	multimapper	spliced_unannot	all_M	2	0	263	0.00024760048766940155
gdna	rna	mrna	ambig_opp_strand	unspliced	soft_or_hard_clipped	1	2	263	0.00024760048766940155
rna	rna	nrna	multimapper	spliced_annot	contains_N	2	0	260	0.000524075208823814
gdna	gdna	gdna	multimapper	unspliced	soft_or_hard_clipped	3-10	0	256	1.6475040281795268e-05
gdna	rna	nrna	multimapper	unspliced	all_M	3-10	>=3	256	0.00019228414789955857
rna	rna	mrna	unambig	spliced_annot	other	1	>=3	251	1.9516570657061506e-05
