true_source	predicted_binary	predicted_detail	feature	value	count	rate_within_group
rna	gdna	gdna	zw	0.25-0.50	68214	0.13412138049819208
rna	gdna	gdna	zw	0.50-0.70	52182	0.10259949390384172
rna	rna	mrna	cigar_class	contains_N	7051438	0.5482864062186792
rna	rna	mrna	cigar_class	all_M	5518753	0.4291120831209967
rna	rna	mrna	cigar_class	soft_or_hard_clipped	252671	0.019646499699164894
rna	rna	mrna	cigar_class	other	38004	0.0029550109611592252
rna	rna	mrna	mapq	>=60	12813067	0.9962833762516459
rna	rna	mrna	mapq	0-9	47799	0.0037166237483541157
rna	rna	mrna	nh	1	12813067	0.9962833762516459
rna	rna	mrna	nh	2	41888	0.003257012397143396
rna	rna	mrna	nh	3-10	5558	0.00043216374387230225
rna	rna	mrna	nh	>10	353	2.744760733841718e-05
rna	rna	mrna	nm	0	11241346	0.8740737987628516
rna	rna	mrna	nm	1	1314368	0.10219902765490287
rna	rna	mrna	nm	2	191568	0.014895419950724936
rna	rna	mrna	nm	>=3	113584	0.008831753631520615
rna	rna	mrna	template	>1000	6902458	0.5367024273482051
rna	rna	mrna	template	201-350	2861241	0.22247654240390966
rna	rna	mrna	template	501-1000	1546961	0.120284357212026
rna	rna	mrna	template	1-200	823866	0.06405991633844875
rna	rna	mrna	template	351-500	726091	0.05645739563727668
rna	rna	mrna	template	0_or_missing	249	1.936106013389767e-05
rna	rna	mrna	zc	ambig_same_strand	11141676	0.8663239318409818
rna	rna	mrna	zc	unambig	1117842	0.08691809711725478
rna	rna	mrna	zc	ambig_opp_strand	553549	0.043041347293409325
rna	rna	mrna	zc	multimapper	47799	0.0037166237483541157
rna	rna	mrna	zs	spliced_annot	9255114	0.7196338100404748
rna	rna	mrna	zs	unspliced	3286669	0.25555580782818205
rna	rna	mrna	zs	spliced_implicit	290955	0.022623282133567055
rna	rna	mrna	zs	spliced_unannot	28128	0.0021870999977761994
rna	rna	mrna	zw	0.70-0.90	2690820	0.20922541296985755
rna	rna	mrna	zw	0.90-0.99	2427033	0.18871458578294806
rna	rna	mrna	zw	0.25-0.50	2107885	0.16389914955960197
